Series ID,Series Title,Area Code,Area Level,Area Text,Occupation Code,Occupation Text,Job Characteristic Code,Job Characteristic Text,Work Level Code,Average Hourly Wage,Relative Standard Error
WMU00350841020000001500000012,Average hourly wage for computer and mathematical occupations,35084,Metro area,"Newark, NJ-PA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,76.93,2.7
WMU00358401020000001500000012,Average hourly wage for computer and mathematical occupations,35840,Metro area,"North Port-Sarasota-Bradenton, FL",150000,Computer and Mathematical Occupations,0,All workers,12,75.95,10.7
WMU41000021020000001500000012,Average hourly wage for computer and mathematical occupations,4100002,Nonmetro area,South Coast Oregon nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,75.82,18.6
WMU00472601020000001500000012,Average hourly wage for computer and mathematical occupations,47260,Metro area,"Virginia Beach-Norfolk-Newport News, VA-NC",150000,Computer and Mathematical Occupations,0,All workers,12,75.62,8.5
WMU00180201020000001500000012,Average hourly wage for computer and mathematical occupations,18020,Metro area,"Columbus, IN",150000,Computer and Mathematical Occupations,0,All workers,12,75.45,17
WMU00719501020000001500000012,Average hourly wage for computer and mathematical occupations,71950,Metro area,"Bridgeport-Stamford-Norwalk, CT",150000,Computer and Mathematical Occupations,0,All workers,12,75.22,3.4
WMU00246601020000001500000012,Average hourly wage for computer and mathematical occupations,24660,Metro area,"Greensboro-High Point, NC",150000,Computer and Mathematical Occupations,0,All workers,12,75.19,10.2
WMU00415001020000001500000012,Average hourly wage for computer and mathematical occupations,41500,Metro area,"Salinas, CA",150000,Computer and Mathematical Occupations,0,All workers,12,74.87,4.8
WMU00350041020000001500000012,Average hourly wage for computer and mathematical occupations,35004,Metro area,"Nassau County-Suffolk County, NY Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,74.64,3.2
WMU00147401020000001500000012,Average hourly wage for computer and mathematical occupations,14740,Metro area,"Bremerton-Silverdale, WA",150000,Computer and Mathematical Occupations,0,All workers,12,74.6,6.2
WMU49000011020000001500000012,Average hourly wage for computer and mathematical occupations,4900001,Nonmetro area,Wasatch Back nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,74.4,10.9
WMU00393401020000001500000012,Average hourly wage for computer and mathematical occupations,39340,Metro area,"Provo-Orem, UT",150000,Computer and Mathematical Occupations,0,All workers,12,74.3,5.5
WMU49000011020000001500002512,Average hourly wage for computer and mathematical occupations,4900001,Nonmetro area,Wasatch Back nonmetropolitan area,150000,Computer and Mathematical Occupations,25,Full-time,12,74.27,10.9
WMU00393401020000001500002512,Average hourly wage for computer and mathematical occupations,39340,Metro area,"Provo-Orem, UT",150000,Computer and Mathematical Occupations,25,Full-time,12,74.26,5.5
WMU00356141020000001511210012,Average hourly wage for computer systems analysts,35614,Metro area,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",151121,Computer Systems Analysts,0,All workers,12,73.51,4.2
WMU08000021020000001500000012,Average hourly wage for computer and mathematical occupations,800002,Nonmetro area,Southwest Colorado nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,73.29,5
WMU08000021020000001500002512,Average hourly wage for computer and mathematical occupations,800002,Nonmetro area,Southwest Colorado nonmetropolitan area,150000,Computer and Mathematical Occupations,25,Full-time,12,73.29,5
WMU00111801020000001500000012,Average hourly wage for computer and mathematical occupations,11180,Metro area,"Ames, IA",150000,Computer and Mathematical Occupations,0,All workers,12,73.23,23.3
WMU00402201020000001500000012,Average hourly wage for computer and mathematical occupations,40220,Metro area,"Roanoke, VA",150000,Computer and Mathematical Occupations,0,All workers,12,72.99,5.5
WMU00112601020000001500000012,Average hourly wage for computer and mathematical occupations,11260,Metro area,"Anchorage, AK",150000,Computer and Mathematical Occupations,0,All workers,12,72.83,6.3
WMU00145001020000001500000012,Average hourly wage for computer and mathematical occupations,14500,Metro area,"Boulder, CO",150000,Computer and Mathematical Occupations,0,All workers,12,72.78,3.7
WMU00145001020000001500002512,Average hourly wage for computer and mathematical occupations,14500,Metro area,"Boulder, CO",150000,Computer and Mathematical Occupations,25,Full-time,12,72.76,3.7
WMU00360841020000001500000012,Average hourly wage for computer and mathematical occupations,36084,Metro area,"Oakland-Hayward-Berkeley, CA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,72.69,3.8
WMU00459401020000001500000012,Average hourly wage for computer and mathematical occupations,45940,Metro area,"Trenton, NJ",150000,Computer and Mathematical Occupations,0,All workers,12,72.63,3.8
WMU00422001020000001500000012,Average hourly wage for computer and mathematical occupations,42200,Metro area,"Santa Maria-Santa Barbara, CA",150000,Computer and Mathematical Occupations,0,All workers,12,72.4,2.4
WMU00420341020000001500000012,Average hourly wage for computer and mathematical occupations,42034,Metro area,"San Rafael, CA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,72.39,4.3
WMU00453001020000001500000012,Average hourly wage for computer and mathematical occupations,45300,Metro area,"Tampa-St. Petersburg-Clearwater, FL",150000,Computer and Mathematical Occupations,0,All workers,12,72.11,6.5
WMU00371001020000001500000012,Average hourly wage for computer and mathematical occupations,37100,Metro area,"Oxnard-Thousand Oaks-Ventura, CA",150000,Computer and Mathematical Occupations,0,All workers,12,72.05,3.7
WMU00360841020000001511330012,Average hourly wage for software developers,36084,Metro area,"Oakland-Hayward-Berkeley, CA Metropolitan Division",151133,"Software Developers, Systems Software",0,All workers,12,71.89,3.8
WMU00787001020000001500000012,Average hourly wage for computer and mathematical occupations,78700,Metro area,"Waterbury, CT",150000,Computer and Mathematical Occupations,0,All workers,12,71.55,7.6
WMU00415401020000001500000012,Average hourly wage for computer and mathematical occupations,41540,Metro area,"Salisbury, MD-DE",150000,Computer and Mathematical Occupations,0,All workers,12,71.42,11.9
WMU00749501020000001500000012,Average hourly wage for computer and mathematical occupations,74950,Metro area,"Manchester, NH",150000,Computer and Mathematical Occupations,0,All workers,12,71.16,6.6
WMU00361401020000001500000012,Average hourly wage for computer and mathematical occupations,36140,Metro area,"Ocean City, NJ",150000,Computer and Mathematical Occupations,0,All workers,12,70.97,10
WMU32000011020000001500000012,Average hourly wage for computer and mathematical occupations,3200001,Nonmetro area,South Nevada nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,70.93,7.5
WMU00421001020000001500000012,Average hourly wage for computer and mathematical occupations,42100,Metro area,"Santa Cruz-Watsonville, CA",150000,Computer and Mathematical Occupations,0,All workers,12,70.75,4.9
WMU00757001020000001500000012,Average hourly wage for computer and mathematical occupations,75700,Metro area,"New Haven, CT",150000,Computer and Mathematical Occupations,0,All workers,12,70.6,3.5
WMU00310841020000001500000012,Average hourly wage for computer and mathematical occupations,31084,Metro area,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,70.58,2.8
WMU00247801020000001500000012,Average hourly wage for computer and mathematical occupations,24780,Metro area,"Greenville, NC",150000,Computer and Mathematical Occupations,0,All workers,12,70.57,8.4
WMU00349001020000001500000012,Average hourly wage for computer and mathematical occupations,34900,Metro area,"Napa, CA",150000,Computer and Mathematical Occupations,0,All workers,12,70.54,7.4
WMU00112441020000001500000012,Average hourly wage for computer and mathematical occupations,11244,Metro area,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,70.47,4.2
WMU00168201020000001500000012,Average hourly wage for computer and mathematical occupations,16820,Metro area,"Charlottesville, VA",150000,Computer and Mathematical Occupations,0,All workers,12,70.41,8
WMU00313401020000001500000012,Average hourly wage for computer and mathematical occupations,31340,Metro area,"Lynchburg, VA",150000,Computer and Mathematical Occupations,0,All workers,12,70.41,4.2
WMU00365001020000001500000012,Average hourly wage for computer and mathematical occupations,36500,Metro area,"Olympia-Tumwater, WA",150000,Computer and Mathematical Occupations,0,All workers,12,70.36,4.8
WMU00765241020000001500000012,Average hourly wage for computer and mathematical occupations,76524,Metro area,"Peabody-Salem-Beverly, MA NECTA Division",150000,Computer and Mathematical Occupations,0,All workers,12,70.33,5.8
WMU00122601020000001500000012,Average hourly wage for computer and mathematical occupations,12260,Metro area,"Augusta-Richmond County, GA-SC",150000,Computer and Mathematical Occupations,0,All workers,12,70.3,11.5
WMU00416201020000001500000012,Average hourly wage for computer and mathematical occupations,41620,Metro area,"Salt Lake City, UT",150000,Computer and Mathematical Occupations,0,All workers,12,70.24,4.7
WMU00416201020000001500002512,Average hourly wage for computer and mathematical occupations,41620,Metro area,"Salt Lake City, UT",150000,Computer and Mathematical Occupations,25,Full-time,12,70.22,4.7
WMU00268201020000001500000012,Average hourly wage for computer and mathematical occupations,26820,Metro area,"Idaho Falls, ID",150000,Computer and Mathematical Occupations,0,All workers,12,70.21,4.5
WMU00451041020000001500000012,Average hourly wage for computer and mathematical occupations,45104,Metro area,"Tacoma-Lakewood, WA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,70.09,3.1
WMU00205001020000001500000012,Average hourly wage for computer and mathematical occupations,20500,Metro area,"Durham-Chapel Hill, NC",150000,Computer and Mathematical Occupations,0,All workers,12,70.08,5.7
WMU00178201020000001500000012,Average hourly wage for computer and mathematical occupations,17820,Metro area,"Colorado Springs, CO",150000,Computer and Mathematical Occupations,0,All workers,12,69.75,4.1
WMU00178201020000001500002512,Average hourly wage for computer and mathematical occupations,17820,Metro area,"Colorado Springs, CO",150000,Computer and Mathematical Occupations,25,Full-time,12,69.74,4.1
WMU00367401020000001500000012,Average hourly wage for computer and mathematical occupations,36740,Metro area,"Orlando-Kissimmee-Sanford, FL",150000,Computer and Mathematical Occupations,0,All workers,12,69.71,5.2
WMU00473001020000001500000012,Average hourly wage for computer and mathematical occupations,47300,Metro area,"Visalia-Porterville, CA",150000,Computer and Mathematical Occupations,0,All workers,12,69.66,3.9
WMU00350841020000001511210012,Average hourly wage for computer systems analysts,35084,Metro area,"Newark, NJ-PA Metropolitan Division",151121,Computer Systems Analysts,0,All workers,12,69.49,4.7
WMU00226601020000001500000012,Average hourly wage for computer and mathematical occupations,22660,Metro area,"Fort Collins, CO",150000,Computer and Mathematical Occupations,0,All workers,12,69.44,4.9
WMU00294601020000001500000012,Average hourly wage for computer and mathematical occupations,29460,Metro area,"Lakeland-Winter Haven, FL",150000,Computer and Mathematical Occupations,0,All workers,12,69.41,16.1
WMU00350041020000001511210012,Average hourly wage for computer systems analysts,35004,Metro area,"Nassau County-Suffolk County, NY Metropolitan Division",151121,Computer Systems Analysts,0,All workers,12,69.35,5.7
WMU00197401020000001500000012,Average hourly wage for computer and mathematical occupations,19740,Metro area,"Denver-Aurora-Lakewood, CO",150000,Computer and Mathematical Occupations,0,All workers,12,69.32,2.4
WMU00728501020000001500000012,Average hourly wage for computer and mathematical occupations,72850,Metro area,"Danbury, CT",150000,Computer and Mathematical Occupations,0,All workers,12,69.25,2.2
WMU00362601020000001500000012,Average hourly wage for computer and mathematical occupations,36260,Metro area,"Ogden-Clearfield, UT",150000,Computer and Mathematical Occupations,0,All workers,12,69.13,5.7
WMU00373401020000001500000012,Average hourly wage for computer and mathematical occupations,37340,Metro area,"Palm Bay-Melbourne-Titusville, FL",150000,Computer and Mathematical Occupations,0,All workers,12,69.13,3.2
WMU00170201020000001500000012,Average hourly wage for computer and mathematical occupations,17020,Metro area,"Chico, CA",150000,Computer and Mathematical Occupations,0,All workers,12,69.07,3
WMU06000051020000001500000012,Average hourly wage for computer and mathematical occupations,600005,Nonmetro area,Northern Mountains Region of California nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,69.05,3.8
WMU00362601020000001500002512,Average hourly wage for computer and mathematical occupations,36260,Metro area,"Ogden-Clearfield, UT",150000,Computer and Mathematical Occupations,25,Full-time,12,68.99,5.6
WMU00225401020000001500000012,Average hourly wage for computer and mathematical occupations,22540,Metro area,"Fond du Lac, WI",150000,Computer and Mathematical Occupations,0,All workers,12,68.91,8.6
WMU00389001020000001500000012,Average hourly wage for computer and mathematical occupations,38900,Metro area,"Portland-Vancouver-Hillsboro, OR-WA",150000,Computer and Mathematical Occupations,0,All workers,12,68.74,3.4
WMU00480601020000001500000012,Average hourly wage for computer and mathematical occupations,48060,Metro area,"Watertown-Fort Drum, NY",150000,Computer and Mathematical Occupations,0,All workers,12,68.69,10.6
WMU00340601020000001500000012,Average hourly wage for computer and mathematical occupations,34060,Metro area,"Morgantown, WV",150000,Computer and Mathematical Occupations,0,All workers,12,68.57,9
WMU00216601020000001500000012,Average hourly wage for computer and mathematical occupations,21660,Metro area,"Eugene, OR",150000,Computer and Mathematical Occupations,0,All workers,12,68.56,4.8
WMU00188801020000001500000012,Average hourly wage for computer and mathematical occupations,18880,Metro area,"Crestview-Fort Walton Beach-Destin, FL",150000,Computer and Mathematical Occupations,0,All workers,12,68.54,6.8
WMU00125801020000001500000012,Average hourly wage for computer and mathematical occupations,12580,Metro area,"Baltimore-Columbia-Towson, MD",150000,Computer and Mathematical Occupations,0,All workers,12,68.48,5.2
WMU51000031020000001500000012,Average hourly wage for computer and mathematical occupations,5100003,Nonmetro area,Northeast Virginia nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,68.36,4.8
WMU16000031020000001500000012,Average hourly wage for computer and mathematical occupations,1600003,Nonmetro area,South Central Idaho nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,68.19,4.5
WMU00314601020000001500000012,Average hourly wage for computer and mathematical occupations,31460,Metro area,"Madera, CA",150000,Computer and Mathematical Occupations,0,All workers,12,68.04,7.8
WMU00434201020000001500000012,Average hourly wage for computer and mathematical occupations,43420,Metro area,"Sierra Vista-Douglas, AZ",150000,Computer and Mathematical Occupations,0,All workers,12,68.03,6.5
WMU00272601020000001500000012,Average hourly wage for computer and mathematical occupations,27260,Metro area,"Jacksonville, FL",150000,Computer and Mathematical Occupations,0,All workers,12,68.01,3.8
WMU00337001020000001500000012,Average hourly wage for computer and mathematical occupations,33700,Metro area,"Modesto, CA",150000,Computer and Mathematical Occupations,0,All workers,12,67.97,5.7
WMU00736041020000001500000012,Average hourly wage for computer and mathematical occupations,73604,Metro area,"Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division",150000,Computer and Mathematical Occupations,0,All workers,12,67.94,4.8
WMU00745001020000001500000012,Average hourly wage for computer and mathematical occupations,74500,Metro area,"Leominster-Gardner, MA",150000,Computer and Mathematical Occupations,0,All workers,12,67.94,6
WMU00374601020000001500000012,Average hourly wage for computer and mathematical occupations,37460,Metro area,"Panama City, FL",150000,Computer and Mathematical Occupations,0,All workers,12,67.88,13
WMU00356141020000001511320011,Average hourly wage for software developers,35614,Metro area,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",151132,"Software Developers, Applications",0,All workers,11,67.82,3.1
WMU19000041020000001500000012,Average hourly wage for computer and mathematical occupations,1900004,Nonmetro area,Southeast Iowa nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,67.82,5.6
WMU00440601020000001500000012,Average hourly wage for computer and mathematical occupations,44060,Metro area,"Spokane-Spokane Valley, WA",150000,Computer and Mathematical Occupations,0,All workers,12,67.8,4.1
WMU00244201020000001500000012,Average hourly wage for computer and mathematical occupations,24420,Metro area,"Grants Pass, OR",150000,Computer and Mathematical Occupations,0,All workers,12,67.7,4.4
WMU00417401020000001500000012,Average hourly wage for computer and mathematical occupations,41740,Metro area,"San Diego-Carlsbad, CA",150000,Computer and Mathematical Occupations,0,All workers,12,67.61,2
WMU00125401020000001500000012,Average hourly wage for computer and mathematical occupations,12540,Metro area,"Bakersfield, CA",150000,Computer and Mathematical Occupations,0,All workers,12,67.59,3.2
WMU00169401020000001500000012,Average hourly wage for computer and mathematical occupations,16940,Metro area,"Cheyenne, WY",150000,Computer and Mathematical Occupations,0,All workers,12,67.58,26.4
WMU00422201020000001500000012,Average hourly wage for computer and mathematical occupations,42220,Metro area,"Santa Rosa, CA",150000,Computer and Mathematical Occupations,0,All workers,12,67.57,3.3
WMU00731041020000001500000012,Average hourly wage for computer and mathematical occupations,73104,Metro area,"Framingham, MA NECTA Division",150000,Computer and Mathematical Occupations,0,All workers,12,67.54,5.5
WMU00420201020000001500000012,Average hourly wage for computer and mathematical occupations,42020,Metro area,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",150000,Computer and Mathematical Occupations,0,All workers,12,67.49,3.9
WMU00297401020000001500000012,Average hourly wage for computer and mathematical occupations,29740,Metro area,"Las Cruces, NM",150000,Computer and Mathematical Occupations,0,All workers,12,67.48,6.1
WMU00297401020000001500002512,Average hourly wage for computer and mathematical occupations,29740,Metro area,"Las Cruces, NM",150000,Computer and Mathematical Occupations,25,Full-time,12,67.48,6.1
WMU00754041020000001500000012,Average hourly wage for computer and mathematical occupations,75404,Metro area,"Nashua, NH-MA NECTA Division",150000,Computer and Mathematical Occupations,0,All workers,12,67.46,3.8
WMU00409001020000001500000012,Average hourly wage for computer and mathematical occupations,40900,Metro area,"Sacramento--Roseville--Arden-Arcade, CA",150000,Computer and Mathematical Occupations,0,All workers,12,67.44,2.7
WMU00719501020000001511210012,Average hourly wage for computer systems analysts,71950,Metro area,"Bridgeport-Stamford-Norwalk, CT",151121,Computer Systems Analysts,0,All workers,12,67.34,3.8
WMU27000011020000001500000012,Average hourly wage for computer and mathematical occupations,2700001,Nonmetro area,Northwest Minnesota nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,67.28,8.8
WMU00167401020000001500000012,Average hourly wage for computer and mathematical occupations,16740,Metro area,"Charlotte-Concord-Gastonia, NC-SC",150000,Computer and Mathematical Occupations,0,All workers,12,67.26,6.4
WMU00179801020000001500000012,Average hourly wage for computer and mathematical occupations,17980,Metro area,"Columbus, GA-AL",150000,Computer and Mathematical Occupations,0,All workers,12,67.24,8.7
WMU00494201020000001500000012,Average hourly wage for computer and mathematical occupations,49420,Metro area,"Yakima, WA",150000,Computer and Mathematical Occupations,0,All workers,12,67.2,3.9
WMU00153801020000001500000012,Average hourly wage for computer and mathematical occupations,15380,Metro area,"Buffalo-Cheektowaga-Niagara Falls, NY",150000,Computer and Mathematical Occupations,0,All workers,12,67.13,4.7
WMU00346201020000001500000012,Average hourly wage for computer and mathematical occupations,34620,Metro area,"Muncie, IN",150000,Computer and Mathematical Occupations,0,All workers,12,67.08,5.2
WMU00169401020000001500002512,Average hourly wage for computer and mathematical occupations,16940,Metro area,"Cheyenne, WY",150000,Computer and Mathematical Occupations,25,Full-time,12,67.07,26.1
WMU00240201020000001500000012,Average hourly wage for computer and mathematical occupations,24020,Metro area,"Glens Falls, NY",150000,Computer and Mathematical Occupations,0,All workers,12,67.02,5.4
WMU06000011020000001500000012,Average hourly wage for computer and mathematical occupations,600001,Nonmetro area,Mother Lode Region of California nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,66.92,6.4
WMU00395801020000001500000012,Average hourly wage for computer and mathematical occupations,39580,Metro area,"Raleigh, NC",150000,Computer and Mathematical Occupations,0,All workers,12,66.89,5.5
WMU00133801020000001500000012,Average hourly wage for computer and mathematical occupations,13380,Metro area,"Bellingham, WA",150000,Computer and Mathematical Occupations,0,All workers,12,66.87,4.2
WMU00234201020000001500000012,Average hourly wage for computer and mathematical occupations,23420,Metro area,"Fresno, CA",150000,Computer and Mathematical Occupations,0,All workers,12,66.87,2.9
WMU00465201020000001500000012,Average hourly wage for computer and mathematical occupations,46520,Metro area,"Urban Honolulu, HI",150000,Computer and Mathematical Occupations,0,All workers,12,66.87,3.7
WMU00231041020000001500000012,Average hourly wage for computer and mathematical occupations,23104,Metro area,"Fort Worth-Arlington, TX Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,66.82,2.8
WMU00140101020000001500000012,Average hourly wage for computer and mathematical occupations,14010,Metro area,"Bloomington, IL",150000,Computer and Mathematical Occupations,0,All workers,12,66.73,4.3
WMU00176601020000001500000012,Average hourly wage for computer and mathematical occupations,17660,Metro area,"Coeur d'Alene, ID",150000,Computer and Mathematical Occupations,0,All workers,12,66.7,6.5
WMU00176601020000001500002512,Average hourly wage for computer and mathematical occupations,17660,Metro area,"Coeur d'Alene, ID",150000,Computer and Mathematical Occupations,25,Full-time,12,66.7,6.5
WMU00191241020000001500000012,Average hourly wage for computer and mathematical occupations,19124,Metro area,"Dallas-Plano-Irving, TX Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,66.68,2.6
WMU12000021020000001500000012,Average hourly wage for computer and mathematical occupations,1200002,Nonmetro area,Northeast Florida nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,66.67,15
WMU00435241020000001500000012,Average hourly wage for computer and mathematical occupations,43524,Metro area,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,66.58,5.8
WMU00748041020000001500000011,Average hourly wage for computer and mathematical occupations,74804,Metro area,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",150000,Computer and Mathematical Occupations,0,All workers,11,66.55,7.6
WMU00400601020000001500000012,Average hourly wage for computer and mathematical occupations,40060,Metro area,"Richmond, VA",150000,Computer and Mathematical Occupations,0,All workers,12,66.54,4.9
WMU00467001020000001500000012,Average hourly wage for computer and mathematical occupations,46700,Metro area,"Vallejo-Fairfield, CA",150000,Computer and Mathematical Occupations,0,All workers,12,66.48,2.8
WMU00489001020000001500000012,Average hourly wage for computer and mathematical occupations,48900,Metro area,"Wilmington, NC",150000,Computer and Mathematical Occupations,0,All workers,12,66.43,7.8
WMU00139801020000001500000012,Average hourly wage for computer and mathematical occupations,13980,Metro area,"Blacksburg-Christiansburg-Radford, VA",150000,Computer and Mathematical Occupations,0,All workers,12,66.32,7.4
WMU00142601020000001500000012,Average hourly wage for computer and mathematical occupations,14260,Metro area,"Boise City, ID",150000,Computer and Mathematical Occupations,0,All workers,12,66.26,2.6
WMU00142601020000001500002512,Average hourly wage for computer and mathematical occupations,14260,Metro area,"Boise City, ID",150000,Computer and Mathematical Occupations,25,Full-time,12,66.24,2.6
WMU00255001020000001500000012,Average hourly wage for computer and mathematical occupations,25500,Metro area,"Harrisonburg, VA",150000,Computer and Mathematical Occupations,0,All workers,12,66.24,2
WMU13000011020000001500000012,Average hourly wage for computer and mathematical occupations,1300001,Nonmetro area,North Georgia nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,66.17,9.1
WMU00161801020000001500000012,Average hourly wage for computer and mathematical occupations,16180,Metro area,"Carson City, NV",150000,Computer and Mathematical Occupations,0,All workers,12,66.05,12.3
WMU00161801020000001500002512,Average hourly wage for computer and mathematical occupations,16180,Metro area,"Carson City, NV",150000,Computer and Mathematical Occupations,25,Full-time,12,66.05,12.3
WMU00215001020000001500000012,Average hourly wage for computer and mathematical occupations,21500,Metro area,"Erie, PA",150000,Computer and Mathematical Occupations,0,All workers,12,66,6.8
WMU00107401020000001500000012,Average hourly wage for computer and mathematical occupations,10740,Metro area,"Albuquerque, NM",150000,Computer and Mathematical Occupations,0,All workers,12,65.97,3.3
WMU00444201020000001500000012,Average hourly wage for computer and mathematical occupations,44420,Metro area,"Staunton-Waynesboro, VA",150000,Computer and Mathematical Occupations,0,All workers,12,65.97,3.6
WMU00465401020000001500000012,Average hourly wage for computer and mathematical occupations,46540,Metro area,"Utica-Rome, NY",150000,Computer and Mathematical Occupations,0,All workers,12,65.97,4.9
WMU00107401020000001500002512,Average hourly wage for computer and mathematical occupations,10740,Metro area,"Albuquerque, NM",150000,Computer and Mathematical Occupations,25,Full-time,12,65.95,3.3
WMU51000021020000001500000012,Average hourly wage for computer and mathematical occupations,5100002,Nonmetro area,Southside Virginia nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,65.87,3.6
WMU00478941020000001500000012,Average hourly wage for computer and mathematical occupations,47894,Metro area,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,65.8,2.4
WMU00401401020000001500000012,Average hourly wage for computer and mathematical occupations,40140,Metro area,"Riverside-San Bernardino-Ontario, CA",150000,Computer and Mathematical Occupations,0,All workers,12,65.79,3.1
WMU53000041020000001500000012,Average hourly wage for computer and mathematical occupations,5300004,Nonmetro area,East Washington nonmetropolitan area,150000,Computer and Mathematical Occupations,0,All workers,12,65.62,5.2
WMU00187001020000001500000012,Average hourly wage for computer and mathematical occupations,18700,Metro area,"Corvallis, OR",150000,Computer and Mathematical Occupations,0,All workers,12,65.6,3.2
WMU00221801020000001500000012,Average hourly wage for computer and mathematical occupations,22180,Metro area,"Fayetteville, NC",150000,Computer and Mathematical Occupations,0,All workers,12,65.54,6.7
WMU00447001020000001500000012,Average hourly wage for computer and mathematical occupations,44700,Metro area,"Stockton-Lodi, CA",150000,Computer and Mathematical Occupations,0,All workers,12,65.48,2.8
WMU00291001020000001500000012,Average hourly wage for computer and mathematical occupations,29100,Metro area,"La Crosse-Onalaska, WI-MN",150000,Computer and Mathematical Occupations,0,All workers,12,65.43,9.2
